Date,SPY,NLSN,ARCO,GRPN,HCA,KMI,YNDX,ZNGA
1/3/2011,127.050003,,,,,,,
1/4/2011,126.980003,,,,,,,
1/5/2011,127.639999,,,,,,,
1/6/2011,127.389999,,,,,,,
1/7/2011,127.139999,,,,,,,
1/10/2011,126.980003,,,,,,,
1/11/2011,127.43,,,,,,,
1/12/2011,128.580002,,,,,,,
1/13/2011,128.369995,,,,,,,
1/14/2011,129.300003,,,,,,,
1/18/2011,129.520004,,,,,,,
1/19/2011,128.25,,,,,,,
1/20/2011,128.080002,,,,,,,
1/21/2011,128.369995,,,,,,,
1/24/2011,129.100006,,,,,,,
1/25/2011,129.169998,,,,,,,
1/26/2011,129.669998,,,,,,,
1/27/2011,129.990005,25.4,,,,,,
1/28/2011,127.720001,25,,,,,,
1/31/2011,128.679993,26.07,,,,,,
2/1/2011,130.740005,25.75,,,,,,
2/2/2011,130.490005,25.950001,,,,,,
2/3/2011,130.779999,25.950001,,,,,,
2/4/2011,131.149994,26.08,,,,,,
2/7/2011,131.970001,25.790001,,,,,,
2/8/2011,132.570007,26.030001,,,,,,
2/9/2011,132.270004,25.58,,,,,,
2/10/2011,132.320007,25.4,,,,,,
2/11/2011,133.110001,25.219999,,,,31.049999,,
2/14/2011,133.429993,25.370001,,,,30.700001,,
2/15/2011,133.009995,25.379999,,,,30.940001,,
2/16/2011,133.850006,26,,,,30.719999,,
2/17/2011,134.25,27.01,,,,30.549999,,
2/18/2011,134.529999,27.690001,,,,31.370001,,
2/22/2011,131.830002,26.42,,,,30.719999,,
2/23/2011,131.020004,26.66,,,,30.42,,
2/24/2011,130.929993,25.950001,,,,30.459999,,
2/25/2011,132.330002,25.99,,,,30.5,,
2/28/2011,133.149994,26.59,,,,30.5,,
3/1/2011,130.929993,27.129999,,,,30.450001,,
3/2/2011,131.210007,26.92,,,,30.57,,
3/3/2011,133.470001,26.74,,,,30.77,,
3/4/2011,132.470001,26.549999,,,,30.85,,
3/7/2011,131.429993,27,,,,30.9,,
3/8/2011,132.580002,27.1,,,,30.969999,,
3/9/2011,132.389999,26.969999,,,,30.75,,
3/10/2011,129.940002,26.02,,,31.02,30.1,,
3/11/2011,130.839996,26,,,31.120001,30.1,,
3/14/2011,130.050003,26.459999,,,30.91,29.99,,
3/15/2011,128.559998,26.34,,,31.34,29.879999,,
3/16/2011,126.18,26.030001,,,31.25,30.049999,,
3/17/2011,127.849998,26.09,,,31.91,30.15,,
3/18/2011,127.760002,26.639999,,,33.060001,30.5,,
3/21/2011,129.740005,27,,,32.25,30.82,,
3/22/2011,129.289993,27.15,,,31.870001,30.700001,,
3/23/2011,129.660004,26.780001,,,32.68,30.02,,
3/24/2011,130.899994,27.059999,,,32.689999,30.049999,,
3/25/2011,131.300003,27.620001,,,32.950001,29.52,,
3/28/2011,130.979996,27.49,,,33.040001,29.620001,,
3/29/2011,131.860001,27.940001,,,33.889999,29.790001,,
3/30/2011,132.770004,27.82,,,34.240002,29.690001,,
3/31/2011,132.589996,27.309999,,,33.869999,29.639999,,
4/1/2011,133.149994,27.290001,,,33.740002,29.5,,
4/4/2011,133.259995,27.75,,,33.669998,29.440001,,
4/5/2011,133.240005,27.41,,,34.02,29.440001,,
4/6/2011,133.660004,27.5,,,33.299999,29.459999,,
4/7/2011,133.320007,27.48,,,33.66,29.219999,,
4/8/2011,132.860001,27.030001,,,33.169998,29.33,,
4/11/2011,132.460007,27.65,,,32.119999,29.25,,
