Date,YELP,VIPS,WDAY,SRC,RLGY,PBF,MANU,FB,BERY
3/2/2012,24.58,,,,,,,,
3/5/2012,20.99,,,,,,,,
3/6/2012,20.5,,,,,,,,
3/7/2012,20.25,,,,,,,,
3/8/2012,20,,,,,,,,
3/9/2012,19.799999,,,,,,,,
3/12/2012,22.49,,,,,,,,
3/13/2012,23.299999,,,,,,,,
3/14/2012,22.32,,,,,,,,
3/15/2012,21.75,,,,,,,,
3/16/2012,21.74,,,,,,,,
3/19/2012,22.99,,,,,,,,
3/20/2012,22.9,,,,,,,,
3/21/2012,23.120001,,,,,,,,
3/22/2012,23.219999,,,,,,,,
3/23/2012,23.18,0.55,,,,,,,
3/26/2012,24.6,0.47,,,,,,,
3/27/2012,27.65,0.46,,,,,,,
3/28/2012,28.09,0.45,,,,,,,
3/29/2012,28.01,0.435,,,,,,,
3/30/2012,26.889999,0.439,,,,,,,
4/2/2012,27.120001,0.438,,,,,,,
4/3/2012,26.700001,0.426,,,,,,,
4/4/2012,26.16,0.43,,,,,,,
4/5/2012,24.17,0.435,,,,,,,
4/9/2012,25.219999,0.438,,,,,,,
4/10/2012,25.809999,0.452,,,,,,,
4/11/2012,25.43,0.465,,,,,,,
4/12/2012,26.200001,0.465,,,,,,,
4/13/2012,26.33,0.482,,,,,,,
4/16/2012,25.870001,0.501,,,,,,,
4/17/2012,25.57,0.544,,,,,,,
4/18/2012,24.99,0.59,,,,,,,
4/19/2012,24.27,0.595,,,,,,,
4/20/2012,23.1,0.596,,,,,,,
4/23/2012,22.27,0.6,,,,,,,
4/24/2012,21.18,0.602,,,,,,,
4/25/2012,21.129999,0.525,,,,,,,
4/26/2012,21.200001,0.531,,,,,,,
4/27/2012,21.9,0.53,,,,,,,
4/30/2012,22.860001,0.54,,,,,,,
5/1/2012,22.57,0.546,,,,,,,
5/2/2012,23.16,0.569,,,,,,,
5/3/2012,20.639999,0.556,,,,,,,
5/4/2012,21.299999,0.549,,,,,,,
5/7/2012,21.41,0.538,,,,,,,
5/8/2012,20.809999,0.53,,,,,,,
5/9/2012,20.98,0.537,,,,,,,
5/10/2012,20.049999,0.517,,,,,,,
5/11/2012,20.27,0.54,,,,,,,
5/14/2012,20.040001,0.565,,,,,,,
5/15/2012,20.799999,0.529,,,,,,,
5/16/2012,21.6,0.505,,,,,,,
5/17/2012,21.27,0.511,,,,,,,
5/18/2012,18.639999,0.515,,,,,,38.23,
5/21/2012,19.299999,0.503,,,,,,34.029999,
5/22/2012,18,0.486,,,,,,31,
5/23/2012,18.32,0.469,,,,,,32,
5/24/2012,18.889999,0.48,,,,,,33.029999,
5/25/2012,18.190001,0.5,,,,,,31.91,
5/29/2012,17.07,0.506,,,,,,28.84,
5/30/2012,16.610001,0.529,,,,,,28.190001,
5/31/2012,16.709999,0.55,,,,,,29.6,
6/1/2012,15.69,0.551,,,,,,27.719999,
6/4/2012,15.22,0.55,,,,,,26.9,
6/5/2012,15.22,0.562,,,,,,25.870001,
6/6/2012,16.459999,0.588,,,,,,26.809999,
6/7/2012,17.52,0.569,,,,,,26.309999,
6/8/2012,19.639999,0.573,,,,,,27.1,
6/11/2012,18.85,0.583,,,,,,27.01,
6/12/2012,19.65,0.59,,,,,,27.4,
6/13/2012,19.780001,0.574,,,,,,27.27,
6/14/2012,19.85,0.576,,,,,,28.290001,
6/15/2012,21.129999,0.589,,,,,,30.01,
6/18/2012,21.15,0.6,,,,,,31.41,
6/19/2012,21.389999,0.614,,,,,,31.91,
6/20/2012,21.07,0.61,,,,,,31.6,
6/21/2012,21,0.61,,,,,,31.84,
6/22/2012,21.639999,0.61,,,,,,33.049999,
6/25/2012,21.950001,0.611,,,,,,32.060001,
6/26/2012,22.040001,0.615,,,,,,33.099998,
6/27/2012,22.790001,0.61,,,,,,32.23,
6/28/2012,22.51,0.61,,,,,,31.360001,
6/29/2012,22.73,0.61,,,,,,31.1,
7/2/2012,23.74,0.61,,,,,,30.77,
7/3/2012,24.719999,0.609,,,,,,31.200001,
7/5/2012,26.16,0.619,,,,,,31.469999,
7/6/2012,25.299999,0.612,,,,,,31.73,
7/9/2012,24.790001,0.611,,,,,,32.169998,
7/10/2012,22.629999,0.597,,,,,,31.469999,
7/11/2012,21.360001,0.6,,,,,,30.969999,
7/12/2012,22.139999,0.6,,,,,,30.809999,
7/13/2012,21.639999,0.595,,,,,,30.719999,
7/16/2012,21.43,0.594,,,,,,28.25,
7/17/2012,23.02,0.594,,,,,,28.09,
7/18/2012,22.700001,0.584,,,,,,29.110001,
7/19/2012,24,0.554,,,,,,29,
7/20/2012,24.049999,0.555,,,,,,28.76,
7/23/2012,23.290001,0.538,,,,,,28.75,
7/24/2012,22.51,0.515,,,,,,28.450001,
7/25/2012,21.5,0.525,,,,,,29.34,
7/26/2012,19.68,0.538,,,,,,26.85,
7/27/2012,19.51,0.57,,,,,,23.709999,
7/30/2012,20.620001,0.557,,,,,,23.15,
7/31/2012,19.959999,0.556,,,,,,21.709999,
8/1/2012,18.82,0.552,,,,,,20.879999,
8/2/2012,22,0.551,,,,,,20.040001,
8/3/2012,23.4,0.555,,,,,,21.09,
8/6/2012,25.43,0.547,,,,,,21.92,
8/7/2012,25.84,0.544,,,,,,20.719999,
8/8/2012,26.459999,0.552,,,,,,20.719999,
8/9/2012,25.73,0.546,,,,,,21.01,
8/10/2012,25.85,0.535,,,,,14,21.809999,
8/13/2012,23.870001,0.545,,,,,14.15,21.6,
8/14/2012,22.290001,0.545,,,,,14.2,20.379999,
8/15/2012,22.110001,0.544,,,,,14.05,21.200001,
8/16/2012,21.76,0.54,,,,,13.77,19.870001,
8/17/2012,21.5,0.539,,,,,13.42,19.049999,
8/20/2012,20.219999,0.523,,,,,13.06,20.01,
8/21/2012,19,0.515,,,,,13.19,19.16,
8/22/2012,17.870001,0.48,,,,,13.13,19.440001,
8/23/2012,18.190001,0.5,,,,,13.25,19.440001,
8/24/2012,19.48,0.5,,,,,13.26,19.41,
8/27/2012,19.110001,0.505,,,,,13.83,19.15,
8/28/2012,18.26,0.529,,,,,13.53,19.34,
8/29/2012,22.370001,0.577,,,,,13.57,19.1,
8/30/2012,21.690001,0.594,,,,,13.41,19.09,
8/31/2012,22,0.6,,,,,13.3,18.059999,
9/4/2012,24.25,0.6,,,,,13.19,17.73,
9/5/2012,25.77,0.614,,,,,12.9,18.58,
9/6/2012,25.549999,0.619,,,,,12.88,18.959999,
9/7/2012,24.82,0.614,,,,,12.6,18.98,
9/10/2012,25.07,0.614,,,,,12.49,18.809999,
9/11/2012,26.200001,0.619,,,,,12.31,19.43,
9/12/2012,25.799999,0.615,,,,,12.18,20.93,
9/13/2012,23.950001,0.615,,,,,12.39,20.709999,
9/14/2012,26.18,0.616,,,,,12.45,22,
9/17/2012,25.700001,0.609,,,,,12.96,21.52,
9/18/2012,24.77,0.614,,,,,12.58,21.870001,
9/19/2012,25.709999,0.649,,,,,12.47,23.290001,
9/20/2012,26.309999,0.645,,35.313194,,,12.41,22.59,
9/21/2012,26.780001,0.65,,35.831123,,,12.72,22.860001,
9/24/2012,25.67,0.666,,36.137169,,,13.37,20.790001,
9/25/2012,25.5,0.69,,35.901749,,,13.38,20.280001,
9/26/2012,25.68,0.75,,36.466759,,,13.25,20.620001,
9/27/2012,26.24,0.745,,36.325508,,,13.26,20.32,
9/28/2012,27.049999,0.75,,36.490303,,,12.73,21.66,
10/1/2012,27.76,0.739,,36.866978,,,12.55,21.99,
10/2/2012,27.59,0.736,,37.243649,,,12.56,22.27,
10/3/2012,28.09,0.745,,37.643867,,,13.05,21.83,
10/4/2012,28.889999,0.748,,37.667408,,,13,21.950001,15.2
10/5/2012,28.4,0.741,,38.373672,,,12.98,20.91,15
10/8/2012,28.27,0.746,,38.467842,,,13,20.4,14.75
10/9/2012,27.43,0.779,,38.185333,,,13.36,20.23,14.55
10/10/2012,25.610001,0.8,,38.373672,,,13.25,19.639999,14.16
10/11/2012,25.73,0.832,,38.420757,34.200001,,12.86,19.75,14
10/12/2012,25.24,0.836,48.689999,37.949913,33.599998,,12.88,19.52,14.2
10/15/2012,25.309999,0.871,51.939999,37.667408,33.5,,12.63,19.52,14.37
10/16/2012,24.85,0.9,52.16,38.020538,35.740002,,12.5,19.48,14.36
10/17/2012,25.700001,0.943,55.41,37.949913,37.490002,,12.26,19.879999,14.47
10/18/2012,24.76,0.98,53.419998,38.609093,36.200001,,12.28,18.98,14.68
10/19/2012,24.610001,0.995,55.25,38.562008,36.900002,,12.25,19,14.47
10/22/2012,24.27,1.05,55.400002,38.255962,37.130001,,12.38,19.32,14.47
10/23/2012,24,1.048,54.380001,37.879288,35.650002,,12.25,19.5,14.37
10/24/2012,25.77,1.029,52.119999,37.808662,36,,12.3,23.23,14.27
10/25/2012,24.030001,1.036,49.240002,37.902828,35.049999,,12.43,22.559999,14.28
10/26/2012,23.17,1,50,37.667408,34.66,,12.44,21.940001,14.2
10/31/2012,24.1,1.003,48.5,38.467842,35.540001,,12.59,21.110001,14.17
11/1/2012,24.030001,1.025,48.919998,38.938683,35.959999,,12.85,21.209999,14.35
11/2/2012,20.51,1.025,48.52,39.338898,37.740002,,12.39,21.18,14.18
11/5/2012,19.110001,1.013,49.880001,39.244732,38.900002,,12.38,21.25,13.98
11/6/2012,18.25,1.025,48.540001,39.079937,39.360001,,12.75,21.17,14.1
11/7/2012,18.4,1.097,48.07,38.609093,39.279999,,12.54,20.469999,13.63
11/8/2012,17.77,1.155,49.049999,38.514923,38.720001,,12.81,19.99,13.48
11/9/2012,17.719999,1.157,48,38.114708,37.82,,12.79,19.209999,13.65
11/12/2012,17.07,1.115,46.990002,38.279503,37.049999,,12.8,20.07,13.88
11/13/2012,17.209999,1.133,46.990002,38.350128,36.5,,12.98,19.860001,14.15
11/14/2012,16.77,1.245,47.380001,37.643867,35.459999,,12.97,22.360001,14.25
11/15/2012,17.209999,1.198,47.939999,36.914059,34.740002,,12.7,22.17,14.01
11/16/2012,17.32,1.141,48.849998,37.125938,35.5,,12.94,23.559999,14.06
11/19/2012,18.799999,1.206,49.610001,37.196564,37.060001,,13.02,22.92,14.16
11/20/2012,18.809999,1.246,50.709999,37.243649,36.700001,,13.24,23.1,14.3
11/21/2012,18.709999,1.246,51.950001,37.173023,36.18,,13.15,24.32,14.74
11/23/2012,18.98,1.236,50.790001,37.596783,36.5,,13.13,24,14.7
11/26/2012,18.99,1.297,50.82,37.761578,36.290001,,13.3,25.940001,14.87
11/27/2012,20.24,1.311,51.849998,37.431988,36.41,,13.26,26.15,14.75
11/28/2012,20.200001,1.36,53.189999,37.714493,36.720001,,13.3,26.360001,14.74
11/29/2012,19.450001,1.376,51.700001,38.255962,37.310001,,13.07,27.32,15
11/30/2012,18.91,1.374,50.099998,38.208878,37.709999,,13.33,28,14.91
12/3/2012,19.27,1.391,50.099998,37.785118,37.720001,,13.33,27.040001,14.75
12/4/2012,19.049999,1.293,49.700001,37.690948,37.75,,13.34,27.459999,14.75
12/5/2012,18.84,1.251,48.299999,37.902828,36.950001,,13.35,27.709999,14.8
12/6/2012,18.09,1.217,48.400002,38.067623,36.939999,,13.33,26.969999,14.8
12/7/2012,19.049999,1.219,51.200001,38.609093,37.720001,,13.7,27.49,14.8
12/10/2012,18.82,1.233,51.5,38.514923,37.599998,,13.63,27.84,14.81
12/11/2012,19.299999,1.246,51.689999,38.350128,37.23,,13.89,27.98,15
12/12/2012,19.620001,1.235,51.400002,38.350128,37.709999,,13.75,27.58,14.99
12/13/2012,19.66,1.339,50.27,39.032852,38,26.25,13.72,28.24,15.38
12/14/2012,19.459999,1.456,50.48,39.550777,38.610001,27.02,13.59,26.809999,15.51
12/17/2012,18.93,1.442,50.939999,39.597862,39.189999,28.040001,13.59,26.75,15.35
12/18/2012,18.059999,1.455,53.389999,39.621407,40.16,27.870001,13.61,27.709999,15.5
12/19/2012,18.450001,1.568,55.130001,39.903912,40.130001,27.6,13.94,27.41,15.57
12/20/2012,18.91,1.58,56.16,39.974537,40.41,27.83,13.99,27.360001,15.74
12/21/2012,19,1.603,55.950001,40.633717,41.32,27.92,13.96,26.26,16.01
12/24/2012,18.440001,1.79,56.169998,40.586632,41.360001,27.889999,13.87,26.93,15.79
12/26/2012,18.629999,1.785,54.529999,41.081017,41.200001,28.059999,14.01,26.51,15.72
12/27/2012,18.83,1.69,54,41.222271,42.029999,28.299999,13.95,26.049999,15.84
12/28/2012,18.870001,1.779,53.540001,41.457691,41.740002,27.809999,13.9,25.91,15.98
12/31/2012,18.85,1.784,54.5,41.857906,41.959999,29.049999,14.05,26.620001,16.08
1/2/2013,19.700001,1.652,52.91,41.810822,41.380001,29.35,14.36,28,16.17
1/3/2013,20.15,1.737,52.299999,41.481232,41.939999,28.299999,14.24,27.77,16.15
1/4/2013,21.52,1.66,52.189999,41.975616,41.830002,28.07,14.49,28.76,16.49
1/7/2013,21.08,1.8,52.169998,42.140411,41.400002,27.5,14.03,29.42,16.15
1/8/2013,20.83,1.803,51.869999,41.669571,41.439999,27.35,14.14,29.059999,16.280001
1/9/2013,20.76,1.971,52.75,41.881451,42.700001,27.469999,14.35,30.59,16.34
1/10/2013,22.190001,2.055,53.200001,41.904991,41.970001,27.559999,14.21,31.299999,16.67
1/11/2013,22.120001,2.019,52.790001,41.763741,41.630001,28.120001,14.43,31.719999,16.540001
1/14/2013,21.969999,1.981,51.259998,42.258121,41.84,28.02,14.53,30.950001,16.719999
1/15/2013,20.610001,1.997,51.040001,42.258121,42.150002,28.77,15.29,30.1,17.110001
1/16/2013,20.360001,1.972,51.549999,41.810822,42.169998,29.209999,15.15,29.85,16.879999
1/17/2013,20.27,2.001,50.950001,42.069786,42.43,29.42,15.4,30.139999,17.360001
1/18/2013,20.299999,1.988,50.389999,41.952076,43.59,28.5,15.5,29.66,17.440001
1/22/2013,19.9,1.993,50.630001,44.847759,44.279999,29.049999,16.67,30.73,17.59
1/23/2013,20.34,2.084,51.93,45.930695,44.84,28.940001,16.950001,30.82,17.469999
1/24/2013,20.83,2.205,53.16,45.718819,44.299999,29.469999,17.49,31.08,17.59
1/25/2013,21.17,1.996,54.389999,45.977779,44.540001,29.950001,16.889999,31.540001,17.700001
