Date,FWONA,AR,COTY,ESRT,HLT,NWSA,TWTR,VOYA,ZTS
1/10/2013,20.171385,,,,,,,,
1/11/2013,20.379204,,,,,,,,
1/14/2013,20.336527,,,,,,,,
1/15/2013,20.392193,,,,,,,,
1/16/2013,20.280861,,,,,,,,
1/17/2013,20.510946,,,,,,,,
1/18/2013,20.5128,,,,,,,,
1/22/2013,20.548056,,,,,,,,
1/23/2013,20.420025,,,,,,,,
1/24/2013,20.427446,,,,,,,,
1/25/2013,20.549911,,,,,,,,
1/28/2013,20.56661,,,,,,,,
1/29/2013,20.531357,,,,,,,,
1/30/2013,20.516512,,,,,,,,
1/31/2013,20.690931,,,,,,,,
2/1/2013,20.869062,,,,,,,,31.01
2/4/2013,20.574034,,,,,,,,31.02
2/5/2013,20.978537,,,,,,,,31.040001
2/6/2013,20.711342,,,,,,,,31.030001
2/7/2013,20.479403,,,,,,,,32
2/8/2013,20.420025,,,,,,,,33.049999
2/11/2013,20.594444,,,,,,,,33.259998
2/12/2013,20.590733,,,,,,,,33.740002
2/13/2013,20.562901,,,,,,,,33.549999
2/14/2013,20.546202,,,,,,,,33.27
2/15/2013,20.611143,,,,,,,,33.98
2/19/2013,20.544346,,,,,,,,33.84
2/20/2013,20.386625,,,,,,,,32.720001
2/21/2013,19.946867,,,,,,,,32.560001
2/22/2013,19.880068,,,,,,,,32.59
2/25/2013,19.746471,,,,,,,,32.07
2/26/2013,19.852236,,,,,,,,32.040001
2/27/2013,19.956144,,,,,,,,32.32
2/28/2013,20.039642,,,,,,,,33.450001
3/1/2013,20.048922,,,,,,,,34.599998
3/4/2013,20.31797,,,,,,,,34.349998
3/5/2013,20.561045,,,,,,,,34.290001
3/6/2013,20.56661,,,,,,,,33.849998
3/7/2013,20.548056,,,,,,,,34.560001
3/8/2013,20.45528,,,,,,,,34.09
3/11/2013,20.420025,,,,,,,,34.18
3/12/2013,20.540634,,,,,,,,33.82
3/13/2013,20.395903,,,,,,,,34
3/14/2013,20.577745,,,,,,,,34.639999
3/15/2013,20.479403,,,,,,,,33.439999
3/18/2013,20.533213,,,,,,,,32.84
3/19/2013,20.473835,,,,,,,,32.799999
3/20/2013,20.477547,,,,,,,,33.509998
3/21/2013,20.583311,,,,,,,,33.470001
3/22/2013,20.418171,,,,,,,,33.119999
