Date,SPY,SC,BABA,CFG,GPRO,JD,LC,PGRE,SHLX,SYF,WB
1/2/2014,182.92,,,,,,,,,,
1/3/2014,182.89,,,,,,,,,,
1/6/2014,182.36,,,,,,,,,,
1/7/2014,183.48,,,,,,,,,,
1/8/2014,183.52,,,,,,,,,,
1/9/2014,183.64,,,,,,,,,,
1/10/2014,184.14,,,,,,,,,,
1/13/2014,181.69,,,,,,,,,,
1/14/2014,183.67,,,,,,,,,,
1/15/2014,184.66,,,,,,,,,,
1/16/2014,184.42,,,,,,,,,,
1/17/2014,183.64,,,,,,,,,,
1/21/2014,184.18,,,,,,,,,,
1/22/2014,184.30,,,,,,,,,,
1/23/2014,182.79,25.200001,,,,,,,,,
1/24/2014,178.89,24.209999,,,,,,,,,
1/27/2014,178.01,24.799999,,,,,,,,,
1/28/2014,179.07,25.690001,,,,,,,,,
1/29/2014,177.35,25.620001,,,,,,,,,
1/30/2014,179.23,25.77,,,,,,,,,
1/31/2014,178.18,25.629999,,,,,,,,,
2/3/2014,174.17,25.25,,,,,,,,,
2/4/2014,175.39,25.18,,,,,,,,,
2/5/2014,175.17,25.280001,,,,,,,,,
2/6/2014,177.48,24.719999,,,,,,,,,
2/7/2014,179.68,25.08,,,,,,,,,
2/10/2014,180.01,25.219999,,,,,,,,,
2/11/2014,181.98,25.379999,,,,,,,,,
2/12/2014,182.07,25.26,,,,,,,,,
2/13/2014,183.01,25.49,,,,,,,,,
2/14/2014,184.02,25.41,,,,,,,,,
2/18/2014,184.24,25.5,,,,,,,,,
2/19/2014,183.02,25.360001,,,,,,,,,
2/20/2014,184.10,25.43,,,,,,,,,
2/21/2014,183.89,25.35,,,,,,,,,
2/24/2014,184.91,25.280001,,,,,,,,,
2/25/2014,184.84,25.059999,,,,,,,,,
2/26/2014,184.85,24.860001,,,,,,,,,
2/27/2014,185.82,24.879999,,,,,,,,,
2/28/2014,186.29,25.33,,,,,,,,,
3/3/2014,184.98,25.9,,,,,,,,,
3/4/2014,187.58,25.51,,,,,,,,,
3/5/2014,187.75,25,,,,,,,,,
3/6/2014,188.18,24.73,,,,,,,,,
3/7/2014,188.26,24.440001,,,,,,,,,
3/10/2014,188.16,24.379999,,,,,,,,,
3/11/2014,187.23,23.940001,,,,,,,,,
3/12/2014,187.28,23.860001,,,,,,,,,
3/13/2014,185.18,22.860001,,,,,,,,,
3/14/2014,184.66,23.18,,,,,,,,,
3/17/2014,186.33,24.059999,,,,,,,,,
3/18/2014,187.66,24.76,,,,,,,,,
3/19/2014,186.66,24.709999,,,,,,,,,
3/20/2014,187.75,24.370001,,,,,,,,,
3/21/2014,186.20,24.030001,,,,,,,,,
3/24/2014,185.43,23.24,,,,,,,,,
3/25/2014,186.31,23.16,,,,,,,,,
3/26/2014,184.97,23.139999,,,,,,,,,
3/27/2014,184.58,23.110001,,,,,,,,,
3/28/2014,185.49,23.5,,,,,,,,,
3/31/2014,187.01,24.08,,,,,,,,,
4/1/2014,188.25,24,,,,,,,,,
4/2/2014,188.88,24.110001,,,,,,,,,
4/3/2014,188.63,23.780001,,,,,,,,,
4/4/2014,186.40,22.99,,,,,,,,,
4/7/2014,184.34,22.48,,,,,,,,,
4/8/2014,185.10,22.59,,,,,,,,,
4/9/2014,187.09,22.799999,,,,,,,,,
4/10/2014,183.16,22.709999,,,,,,,,,
