Date,BOX,GDDY,RACE,SQ,TRU
1/23/2015,23.23,,,,
1/26/2015,22.6,,,,
1/27/2015,21.299999,,,,
1/28/2015,19.780001,,,,
1/29/2015,18.799999,,,,
1/30/2015,18.809999,,,,
2/2/2015,18.02,,,,
2/3/2015,18.24,,,,
2/4/2015,17.1,,,,
2/5/2015,16.66,,,,
2/6/2015,18.120001,,,,
2/9/2015,19.6,,,,
2/10/2015,20.99,,,,
2/11/2015,20.959999,,,,
2/12/2015,20.17,,,,
2/13/2015,20.18,,,,
2/17/2015,19.049999,,,,
2/18/2015,18,,,,
2/19/2015,18.959999,,,,
2/20/2015,18.85,,,,
2/23/2015,18.209999,,,,
2/24/2015,18.83,,,,
2/25/2015,18.67,,,,
2/26/2015,18.940001,,,,
2/27/2015,18.66,,,,
3/2/2015,18.790001,,,,
3/3/2015,18.59,,,,
3/4/2015,19,,,,
3/5/2015,19.139999,,,,
3/6/2015,18.91,,,,
3/9/2015,19.4,,,,
3/10/2015,19.639999,,,,
3/11/2015,20.530001,,,,
3/12/2015,18.200001,,,,
3/13/2015,17.879999,,,,
3/16/2015,17.129999,,,,
3/17/2015,17.120001,,,,
3/18/2015,17.01,,,,
3/19/2015,17.059999,,,,
3/20/2015,17.209999,,,,
3/23/2015,17.110001,,,,
3/24/2015,17,,,,
3/25/2015,16.969999,,,,
3/26/2015,17.540001,,,,
3/27/2015,18.299999,,,,
3/30/2015,19.049999,,,,
3/31/2015,19.75,20,,,
4/1/2015,18.65,26.15,,,
4/2/2015,17.9,26.5,,,
4/6/2015,17.66,25.799999,,,
4/7/2015,17.610001,25.24,,,
4/8/2015,17.360001,25.15,,,
4/9/2015,17.1,26.32,,,
4/10/2015,17.049999,25.290001,,,
4/13/2015,17.1,25.370001,,,
4/14/2015,17.52,25.799999,,,
4/15/2015,17.690001,25.120001,,,
4/16/2015,17.82,24.780001,,,
4/17/2015,17.790001,25.16,,,
4/20/2015,17.93,25.139999,,,
4/21/2015,17.92,24.780001,,,
4/22/2015,18.290001,24.77,,,
4/23/2015,18.280001,25.049999,,,
4/24/2015,17.75,25.629999,,,
4/27/2015,17.57,26.16,,,
4/28/2015,17.5,25.15,,,
4/29/2015,17.209999,24.879999,,,
4/30/2015,17.110001,25.07,,,
5/1/2015,17.5,25.959999,,,
5/4/2015,17.4,25.98,,,
5/5/2015,17.43,25.42,,,
5/6/2015,17.040001,24.540001,,,
5/7/2015,17.040001,24.809999,,,
5/8/2015,17.1,24.879999,,,
5/11/2015,17.309999,25.68,,,
5/12/2015,17.24,26.77,,,
5/13/2015,17.200001,26.5,,,
5/14/2015,17.08,26.23,,,
5/15/2015,16.950001,26.51,,,
5/18/2015,16.870001,26.23,,,
5/19/2015,16.83,25.940001,,,
5/20/2015,16.860001,26.379999,,,
5/21/2015,16.879999,25.6,,,
5/22/2015,17,26.1,,,
5/26/2015,17.01,26.42,,,
5/27/2015,17.75,26.98,,,
5/28/2015,17.620001,26.66,,,
5/29/2015,17.639999,26.93,,,
6/1/2015,17.5,27.09,,,
6/2/2015,17.370001,27.629999,,,
6/3/2015,17.34,28.91,,,
6/4/2015,17.33,28.92,,,
6/5/2015,17.530001,28.690001,,,
6/8/2015,17.620001,29.1,,,
6/9/2015,16.92,29.5,,,
6/10/2015,17.790001,30.16,,,
6/11/2015,18.290001,29.690001,,,
6/12/2015,17.25,29.280001,,,
6/15/2015,17.120001,29.41,,,
6/16/2015,17.9,30.459999,,,
6/17/2015,17.370001,30.540001,,,
6/18/2015,17.52,31.35,,,
6/19/2015,17.42,31.799999,,,
6/22/2015,17.549999,31.360001,,,
6/23/2015,17.549999,31.82,,,
6/24/2015,18.530001,31.459999,,,
6/25/2015,19.35,31.01,,,25.4
6/26/2015,19.1,29.540001,,,24.85
6/29/2015,18.1,28.18,,,24.370001
6/30/2015,18.639999,28.190001,,,25.1
7/1/2015,18.76,28.290001,,,24.950001
7/2/2015,18.559999,27.139999,,,25
7/6/2015,17.99,27.27,,,24.77
7/7/2015,17.57,26.83,,,24.59
7/8/2015,16.74,26.08,,,24.42
7/9/2015,16.809999,26.610001,,,24.33
7/10/2015,16.709999,26.98,,,24.450001
7/13/2015,16.950001,26.65,,,25.26
7/14/2015,18.049999,26.950001,,,25.049999
