Date,MGP,BUFF,NTNX,TRVG,TWLO,USFD,VVV,ZTO
4/19/2016,21,,,,,,,
4/20/2016,22.01,,,,,,,
4/21/2016,21.76,,,,,,,
4/22/2016,22,,,,,,,
4/25/2016,22.08,,,,,,,
4/26/2016,22.389999,,,,,,,
4/27/2016,22.34,,,,,,,
4/28/2016,22.26,,,,,,,
4/29/2016,22.07,,,,,,,
5/2/2016,22.02,,,,,,,
5/3/2016,22.35,,,,,,,
5/4/2016,22.5,,,,,,,
5/5/2016,22.65,,,,,,,
5/6/2016,22.790001,,,,,,,
5/9/2016,22.9,,,,,,,
5/10/2016,22.91,,,,,,,
5/11/2016,22.83,,,,,,,
5/12/2016,22.77,,,,,,,
5/13/2016,22.74,,,,,,,
5/16/2016,22.99,,,,,,,
5/17/2016,22.98,,,,,,,
5/18/2016,22.889999,,,,,,,
5/19/2016,22.780001,,,,,,,
5/20/2016,22.809999,,,,,,,
5/23/2016,22.73,,,,,,,
5/24/2016,22.620001,,,,,,,
5/25/2016,22.799999,,,,,,,
5/26/2016,22.75,,,,,24.91,,
5/27/2016,23.030001,,,,,25.030001,,
5/31/2016,23,,,,,24.99,,
6/1/2016,23.809999,,,,,25.35,,
6/2/2016,23.92,,,,,25.280001,,
6/3/2016,24.25,,,,,25.290001,,
6/6/2016,24.35,,,,,25.309999,,
6/7/2016,25.450001,,,,,25.4,,
6/8/2016,25.120001,,,,,25.219999,,
6/9/2016,25.48,,,,,24.950001,,
6/10/2016,25.469999,,,,,24.719999,,
6/13/2016,24.74,,,,,24.280001,,
6/14/2016,25.02,,,,,23.67,,
6/15/2016,24.99,,,,,23.99,,
6/16/2016,26,,,,,23.74,,
6/17/2016,26.9,,,,,23.959999,,
6/20/2016,26.870001,,,,,23.559999,,
6/21/2016,26.48,,,,,23.889999,,
6/22/2016,25.690001,,,,,23.57,,
6/23/2016,25.219999,,,,28.790001,23.18,,
6/24/2016,24.73,,,,26.299999,23.34,,
6/27/2016,24.68,,,,27.25,23.76,,
6/28/2016,25.139999,,,,29.92,24.23,,
6/29/2016,25.969999,,,,37.080002,24.389999,,
6/30/2016,26.68,,,,36.5,24.24,,
7/1/2016,26.43,,,,34.029999,24.48,,
7/5/2016,26.629999,,,,34.040001,24.209999,,
7/6/2016,26.9,,,,37.93,24.950001,,
7/7/2016,26.440001,,,,36.509998,25.02,,
7/8/2016,26.780001,,,,35.540001,25.08,,
7/11/2016,26.559999,,,,37.299999,25.4,,
7/12/2016,26.969999,,,,38.299999,25.43,,
7/13/2016,26.65,,,,42.25,25.5,,
7/14/2016,26.48,,,,41.75,25.41,,
