Date,SPY,INVH,APRN,ATUS,GOOS,LOMA,QD,ROKU,SNAP,SOGO
1/3/2017,225.24,,,,,,,,,
1/4/2017,226.58,,,,,,,,,
1/5/2017,226.40,,,,,,,,,
1/6/2017,227.21,,,,,,,,,
1/9/2017,226.46,,,,,,,,,
1/10/2017,226.46,,,,,,,,,
1/11/2017,227.10,,,,,,,,,
1/12/2017,226.53,,,,,,,,,
1/13/2017,227.05,,,,,,,,,
1/17/2017,226.25,,,,,,,,,
1/18/2017,226.75,,,,,,,,,
1/19/2017,225.91,,,,,,,,,
1/20/2017,226.74,,,,,,,,,
1/23/2017,226.15,,,,,,,,,
1/24/2017,227.60,,,,,,,,,
1/25/2017,229.57,,,,,,,,,
1/26/2017,229.33,,,,,,,,,
1/27/2017,228.97,,,,,,,,,
1/30/2017,227.55,,,,,,,,,
1/31/2017,227.53,,,,,,,,,
2/1/2017,227.62,20,,,,,,,,
2/2/2017,227.77,20.23,,,,,,,,
2/3/2017,229.34,20.629999,,,,,,,,
2/6/2017,228.93,20.73,,,,,,,,
2/7/2017,228.94,20.799999,,,,,,,,
2/8/2017,229.24,20.84,,,,,,,,
2/9/2017,230.60,20.879999,,,,,,,,
2/10/2017,231.51,21.02,,,,,,,,
2/13/2017,232.77,21,,,,,,,,
2/14/2017,233.70,21.030001,,,,,,,,
2/15/2017,234.92,20.91,,,,,,,,
2/16/2017,234.72,20.959999,,,,,,,,
2/17/2017,235.09,21.15,,,,,,,,
2/21/2017,236.49,21.469999,,,,,,,,
2/22/2017,236.28,21.57,,,,,,,,
2/23/2017,236.44,21.58,,,,,,,,
2/24/2017,236.74,21.6,,,,,,,,
2/27/2017,237.11,21.809999,,,,,,,,
2/28/2017,236.47,21.790001,,,,,,,,
3/1/2017,239.78,21.530001,,,,,,,,
3/2/2017,238.27,21.719999,,,,,,,24.48,
3/3/2017,238.42,21.809999,,,,,,,27.09,
3/6/2017,237.71,21.92,,,,,,,23.77,
3/7/2017,237.00,21.809999,,,,,,,21.440001,
3/8/2017,236.56,21.549999,,,,,,,22.809999,
3/9/2017,236.86,21.24,,,,,,,22.709999,
3/10/2017,237.69,21.4,,,,,,,22.07,
3/13/2017,237.81,21.379999,,,,,,,21.09,
3/14/2017,236.90,21.25,,,,,,,20.58,
3/15/2017,238.95,21.52,,,,,,,20.77,
3/16/2017,238.48,21.48,,,16.08,,,,19.889999,
3/17/2017,237.03,21.6,,,17.23,,,,19.540001,
3/20/2017,236.77,21.540001,,,17.1,,,,19.93,
3/21/2017,233.73,21.389999,,,16.52,,,,20.379999,
3/22/2017,234.28,21.5,,,16.049999,,,,21.82,
3/23/2017,234.03,21.49,,,15.96,,,,23.129999,
3/24/2017,233.86,21.58,,,15.64,,,,22.74,
3/27/2017,233.62,21.530001,,,15.4,,,,23.83,
3/28/2017,235.32,21.639999,,,16.35,,,,22.209999,
3/29/2017,235.54,21.690001,,,16.49,,,,22.549999,
3/30/2017,236.29,21.75,,,16.41,,,,22.23,
3/31/2017,235.74,21.83,,,15.96,,,,22.530001,
4/3/2017,235.33,21.629999,,,15.66,,,,22.35,
4/4/2017,235.48,21.540001,,,16.08,,,,22.139999,
4/5/2017,234.78,21.58,,,16.469999,,,,20.700001,
4/6/2017,235.44,21.700001,,,16.700001,,,,20.57,
4/7/2017,235.20,21.610001,,,16.75,,,,20.82,
4/10/2017,235.34,21.639999,,,16.799999,,,,20.969999,
4/11/2017,235.06,21.549999,,,16.24,,,,20.700001,
4/12/2017,234.03,21.549999,,,16.040001,,,,20.219999,
4/13/2017,232.51,21.290001,,,16.15,,,,20.190001,
4/17/2017,234.57,21.67,,,16.01,,,,19.940001,
4/18/2017,233.87,21.77,,,16.309999,,,,20.549999,
4/19/2017,233.44,21.75,,,16.290001,,,,20.620001,
4/20/2017,235.34,21.49,,,16.110001,,,,21.15,
4/21/2017,234.59,21.66,,,15.99,,,,20.93,
4/24/2017,237.17,21.639999,,,15.92,,,,21.200001,
4/25/2017,238.55,21.719999,,,16.370001,,,,21.34,
4/26/2017,238.40,21.68,,,16.860001,,,,21.58,
4/27/2017,238.60,21.59,,,16.75,,,,22.01,
4/28/2017,238.08,21.549999,,,16.83,,,,22.549999,
5/1/2017,238.68,21.68,,,16.59,,,,22.209999,
5/2/2017,238.77,21.52,,,16.15,,,,21.99,
5/3/2017,238.48,21.48,,,16.389999,,,,21.82,
5/4/2017,238.76,21.200001,,,17.139999,,,,22.59,
5/5/2017,239.70,21.27,,,17.290001,,,,23.190001,
5/8/2017,239.66,21.280001,,,17.190001,,,,22.459999,
5/9/2017,239.44,21.450001,,,17.1,,,,23.32,
5/10/2017,239.87,21.67,,,17.200001,,,,22.98,
5/11/2017,239.38,21.9,,,17.23,,,,18.049999,
5/12/2017,238.98,21.790001,,,17.73,,,,19.139999,
5/15/2017,240.30,21.9,,,18,,,,20.74,
5/16/2017,240.08,21.370001,,,18.42,,,,20.780001,
5/17/2017,235.82,21.540001,,,17.49,,,,19.9,
5/18/2017,236.77,21.65,,,17.42,,,,20.27,
5/19/2017,238.31,21.780001,,,17.52,,,,20,
5/22/2017,239.52,21.67,,,18.110001,,,,20.08,
5/23/2017,240.05,21.559999,,,18.34,,,,20.030001,
5/24/2017,240.61,21.639999,,,18,,,,20.530001,
5/25/2017,241.76,21.200001,,,18.030001,,,,21.93,
5/26/2017,241.71,21.200001,,,18.01,,,,21.219999,
5/30/2017,241.50,21.360001,,,17.99,,,,21.450001,
5/31/2017,241.44,21.52,,,18.049999,,,,21.209999,
6/1/2017,243.36,21.68,,,18.709999,,,,21.34,
6/2/2017,244.17,21.93,,,21.639999,,,,21.09,
6/5/2017,243.99,21.58,,,22.5,,,,20.209999,
6/6/2017,243.21,21.52,,,23.42,,,,20.360001,
6/7/2017,243.66,21.299999,,,22.959999,,,,19.559999,
6/8/2017,243.78,21.18,,,22.15,,,,18.85,
6/9/2017,243.41,21.4,,,22.110001,,,,18.08,
6/12/2017,243.36,21.450001,,,21.35,,,,18.200001,
6/13/2017,244.55,21.41,,,22.4,,,,18.1,
6/14/2017,244.24,21.5,,,21.610001,,,,17.879999,
6/15/2017,243.77,21.459999,,,21.190001,,,,17,
6/16/2017,242.64,21.23,,,20.549999,,,,17.540001,
6/19/2017,244.66,21.610001,,,21.139999,,,,17.879999,
6/20/2017,243.01,21.370001,,,20.879999,,,,17.309999,
6/21/2017,242.95,21.290001,,,22.35,,,,17.27,
6/22/2017,242.84,21.440001,,32.709999,22.15,,,,17.639999,
6/23/2017,243.13,21.719999,,34.299999,21.92,,,,17.540001,
6/26/2017,243.29,21.639999,,33.900002,21.309999,,,,17.290001,
6/27/2017,241.33,21.57,,32.860001,21.129999,,,,17.34,
6/28/2017,243.49,21.57,,32.91,20.75,,,,17.76,
6/29/2017,241.35,21.299999,150,32.68,19.700001,,,,17.889999,
6/30/2017,241.80,21.629999,140.100006,32.299999,19.75,,,,17.77,
7/3/2017,242.21,21.68,145.050003,31.9,19.780001,,,,17.59,
7/5/2017,242.77,21.690001,132.600006,31.200001,19.5,,,,17.32,
7/6/2017,240.55,21.290001,120.900002,31.879999,19.030001,,,,17.309999,
7/7/2017,242.11,21.450001,115.949997,32.450001,19.25,,,,17.18,
7/10/2017,242.37,21.43,122.099998,32.27,19.02,,,,16.99,
7/11/2017,242.19,21.450001,107.099998,31.75,19.049999,,,,15.47,
7/12/2017,244.01,21.49,113.400002,31.9,18.98,,,,15.24,
7/13/2017,244.42,21.49,111,31.549999,19.02,,,,15.69,
7/14/2017,245.56,21.540001,110.400002,31.790001,19.290001,,,,15.27,
7/17/2017,245.53,21.629999,98.849998,31.91,19.08,,,,15.13,
7/18/2017,245.66,21.48,95.400002,32.009998,19.1,,,,14.73,
7/19/2017,246.99,21.68,99.75,31.639999,19.450001,,,,14.97,
7/20/2017,247.10,21.65,97.800003,31.440001,19.940001,,,,14.89,
7/21/2017,246.88,21.74,98.25,31.1,20.040001,,,,14.48,
7/24/2017,246.82,21.77,111.150002,30.959999,20.01,,,,14.08,
7/25/2017,247.42,21.639999,112.5,31.08,19.68,,,,13.89,
7/26/2017,247.43,21.43,101.25,31.6,19.51,,,,13.4,
7/27/2017,247.20,21.27,100.800003,33.880001,19.200001,,,,14,
7/28/2017,246.91,21.33,101.099998,32.57,19.030001,,,,13.81,
7/31/2017,246.77,21.32,99.150002,33.439999,19.059999,,,,13.67,
8/1/2017,247.32,21.469999,95.550003,33.810001,19.459999,,,,13.1,
8/2/2017,247.44,21.200001,93,32.619999,18.889999,,,,12.65,
8/3/2017,246.96,21.08,93.300003,32.349998,18.860001,,,,12.93,
8/4/2017,247.41,21.16,87.449997,32.48,18.41,,,,13.52,
8/7/2017,247.87,21.110001,87.75,31.08,18.9,,,,13.39,
8/8/2017,247.26,20.83,87.150002,31.049999,19.129999,,,,13.02,
8/9/2017,247.25,20.99,93.599998,31.09,18.950001,,,,13.56,
8/10/2017,243.76,21.809999,77.099998,31.040001,18.32,,,,13.77,
8/11/2017,244.12,21.92,76.800003,31.49,18.98,,,,11.83,
8/14/2017,246.54,23,80.400002,31.34,19.110001,,,,12.6,
8/15/2017,246.51,22.940001,84.75,31.02,18.860001,,,,12.74,
8/16/2017,246.94,23.35,82.5,30.549999,18.73,,,,13.12,
8/17/2017,243.09,23.530001,80.849998,30.34,18.370001,,,,13.35,
8/18/2017,242.71,23.32,79.650002,30.41,17.91,,,,14.01,
8/21/2017,242.90,23.299999,78.599998,30.719999,17.15,,,,13.58,
8/22/2017,245.44,23.15,78.75,30.860001,17.35,,,,14.53,
8/23/2017,244.56,23.190001,82.050003,30.889999,17.42,,,,15.09,
8/24/2017,243.99,22.9,82.199997,30.690001,17.790001,,,,14.53,
8/25/2017,244.56,22.889999,80.849998,30.68,17.52,,,,14.78,
8/28/2017,244.57,22.84,80.699997,31.049999,17.879999,,,,15.19,
8/29/2017,244.85,22.66,77.550003,30.85,17.6,,,,14.99,
8/30/2017,246.01,23,79.949997,31,17.6,,,,14.96,
8/31/2017,247.49,23.139999,78.599998,30.51,17.530001,,,,14.51,
9/1/2017,247.84,23.26,78.300003,30.5,18.17,,,,14.27,
9/5/2017,246.06,22.93,78.300003,30.01,18.25,,,,14.49,
9/6/2017,246.90,22.6,82.050003,30.290001,18.5,,,,14.5,
9/7/2017,246.87,22.32,80.099998,29.25,19.049999,,,,15.15,
9/8/2017,246.58,22.33,80.699997,28.190001,18.84,,,,15.34,
9/11/2017,249.21,22.91,81.150002,28.66,19.09,,,,15.27,
9/12/2017,250.05,22.549999,80.550003,29.5,19.620001,,,,15.13,
9/13/2017,250.17,22.190001,80.849998,29.690001,20.5,,,,15.03,
9/14/2017,250.09,22.18,84.75,29.48,20.02,,,,14.91,
9/15/2017,249.19,22.4,90.900002,27.299999,19.860001,,,,15.25,
9/18/2017,249.72,22.690001,85.050003,26.719999,19.66,,,,14.92,
9/19/2017,249.97,23,82.650002,26.99,19.799999,,,,14.72,
9/20/2017,250.06,22.469999,78.300003,27.35,19.51,,,,14.16,
9/21/2017,249.39,22.57,78.449997,26.940001,19.49,,,,13.77,
9/22/2017,249.44,22.15,77.849998,27.299999,19.34,,,,13.7,
9/25/2017,248.93,22.5,83.099998,27.67,19.129999,,,,13.22,
9/26/2017,249.08,22.459999,87,27.690001,19.91,,,,13.91,
9/27/2017,250.05,22.66,87,27.85,20.290001,,,,14.12,
9/28/2017,250.35,22.43,83.849998,27,20.280001,,,23.5,14.45,
9/29/2017,251.23,22.65,81.75,27.309999,20.549999,,,26.540001,14.54,
10/2/2017,252.32,22.99,81.599998,27.530001,20.98,,,23.559999,14.88,
10/3/2017,252.86,22.629999,80.099998,27.25,20.959999,,,20.809999,14.64,
10/4/2017,253.16,22.82,80.099998,27.02,20.76,,,20.85,14.53,
10/5/2017,254.66,22.73,79.800003,28.24,20.549999,,,22.01,14.48,
10/6/2017,254.37,22.360001,78.75,27.93,21.049999,,,23.200001,14.79,
10/9/2017,253.95,22.42,77.25,27.219999,20.82,,,24.540001,14.71,
10/10/2017,254.62,22.690001,76.349998,26.75,21.1,,,22.93,14.34,
10/11/2017,255.02,22.639999,76.349998,25.860001,21.23,,,23.66,15.98,
10/12/2017,254.64,22.610001,76.199997,25.15,20.93,,,23.629999,16.549999,
10/13/2017,254.95,22.629999,77.400002,24.58,20.790001,,,23.02,16.5,
10/16/2017,255.29,22.639999,78.75,24.6,20.59,,,22.190001,16.07,
10/17/2017,255.47,22.65,80.699997,24.49,20.389999,,,22.09,16.09,
10/18/2017,255.72,22.799999,79.5,24.65,20.57,,29.18,22.049999,15.75,
10/19/2017,255.79,22.74,77.550003,25.52,20.51,,34.900002,22.030001,15.25,
10/20/2017,257.11,22.92,76.199997,26.02,20.83,,33,21.870001,15.56,
10/23/2017,256.11,22.66,77.25,25.6,20.33,,26.59,20.370001,14.97,
10/24/2017,256.56,22.68,76.199997,25.110001,20.6,,28.450001,19.77,14.59,
10/25/2017,255.29,22.809999,75.150002,25.4,20.139999,,26.389999,18.92,14.16,
10/26/2017,255.62,22.75,75.449997,23.879999,20.559999,,22.799999,18.57,14.39,
10/27/2017,257.71,22.959999,76.949997,23.690001,20.809999,,23.27,18.790001,15.44,
10/30/2017,256.75,22.870001,75.150002,23.52,21.6,,22.190001,19.5,15.68,
10/31/2017,257.15,22.57,71.550003,23.68,21.48,,24.9,20.379999,15.34,
11/1/2017,257.49,22.65,70.050003,24.940001,21.42,21.35,27.049999,19.799999,14.51,
11/2/2017,257.59,23.209999,57,24.5,20.719999,21.51,25.27,19.75,14.55,
11/3/2017,258.45,22.84,56.849998,22.59,21.120001,21.5,25.02,19.549999,15.27,
11/6/2017,258.85,23.120001,58.200001,23.91,21.59,21.629999,27.1,19.34,14.83,
11/7/2017,258.67,23.200001,45.75,23.059999,21.93,21.190001,27.52,19.129999,15.12,
11/8/2017,259.11,23.16,47.849998,22.799999,21.73,22.209999,26.01,18.84,12.91,
11/9/2017,258.17,23.299999,46.349998,21.799999,24.790001,21.67,25.469999,29.190001,12.38,13.5
11/10/2017,258.09,23.73,47.549999,21.9,26,21.32,27.51,33.25,12.76,13.85
11/13/2017,258.33,23.57,45.900002,21.1,24.98,21.32,27.23,42.709999,12.4,13.82
11/14/2017,257.73,23.5,45.900002,19.4,24.33,21,25.16,36.950001,12.57,13
11/15/2017,256.44,23.01,46.349998,20.26,24.110001,21.120001,24.98,39.32,12.46,12.69
11/16/2017,258.62,23.190001,46.200001,20.24,25.059999,21.98,23.309999,39.790001,12.56,13.27
11/17/2017,257.86,22.82,45.599998,19.860001,26.379999,22.02,21.200001,38.59,12.99,13.19
11/20/2017,258.30,22.82,45.150002,20.48,26.799999,22.4,20.08,39.02,12.41,13.55
11/21/2017,259.99,23.370001,44.849998,20.1,26.790001,23.139999,19.309999,37.259998,12.34,13.7
11/22/2017,259.76,23.5,44.549999,19.33,27.07,23.52,16.15,40.599998,12.62,13.55
11/24/2017,260.36,23.66,46.950001,19.200001,27.48,23.6,12.22,39.470001,12.97,13.05
11/27/2017,260.23,23.389999,46.049999,18.790001,26.75,22.65,13.51,46.52,13.06,13.05
11/28/2017,262.87,23.08,45.75,18.360001,26.120001,22.780001,13.76,46.43,13.61,12.92
11/29/2017,262.71,23.51,44.849998,18.700001,26.67,22.09,14.12,44.869999,13.7,13.05
11/30/2017,265.01,23.549999,44.849998,17.85,26.879999,22.08,13.6,43.900002,13.78,12.3
12/1/2017,264.46,23.51,48.450001,18.440001,27.209999,22,13.78,43.549999,13.87,11.16
12/4/2017,264.14,23.469999,56.400002,18.360001,27.41,21.48,12.45,41.73,13.57,11
12/5/2017,263.19,23.07,56.400002,18.52,27.6,21.24,11.85,39.450001,14.94,11.7
12/6/2017,263.24,23.09,56.099998,18.129999,27.129999,21.459999,11.49,44.259998,14.6,11.43
12/7/2017,264.07,23.24,56.700001,18.41,27.879999,21.73,11.83,42.52,14.7,11.63
12/8/2017,265.51,23.65,57.599998,19.08,28.059999,21.92,13.65,44.790001,15.07,11.65
12/11/2017,266.31,23.67,57.75,19.209999,28.26,22.139999,14.05,47.98,16.219999,11.94
12/12/2017,266.78,23.68,59.700001,19.049999,28.27,22.43,13.19,46.950001,15.93,11.67
12/13/2017,266.75,23.700001,59.549999,19.35,27.719999,22.24,13.98,45.459999,15.96,11.4
12/14/2017,265.66,23.76,63.150002,19.469999,27.58,21.610001,12.73,46.150002,16.040001,11.1
12/15/2017,266.51,24.1,63.299999,19.030001,26.450001,21.49,12.93,52.310001,15.75,11.19
12/18/2017,268.20,24.02,64.5,19.26,27.610001,21.58,13.27,56.099998,16.1,11.37
12/19/2017,267.17,23.67,66.75,19.959999,27.360001,22.379999,12.86,56.580002,15.77,11.72
12/20/2017,267.03,23.33,66.150002,20.34,27.860001,22.5,12.44,52.889999,15.5,11.61
12/21/2017,267.58,23.41,60.599998,20.969999,29.309999,22.299999,12.54,53.849998,15.37,11.6
12/22/2017,267.51,23.299999,60.599998,21.01,29.709999,22.18,13.07,51.619999,15.15,11.66
12/26/2017,267.19,23.370001,62.099998,20.9,30.73,22.41,12.35,54.869999,15.01,11.72
12/27/2017,267.32,23.389999,63.150002,20.67,31,22.75,12.44,54.759998,14.84,11.81
12/28/2017,267.87,23.6,64.349998,20.91,31.629999,22.75,12.41,53.189999,14.85,11.74
12/29/2017,266.86,23.57,60.450001,21.23,31.559999,23.040001,12.54,51.779999,14.61,11.57
1/2/2018,268.77,23.49,61.950001,21.440001,31.799999,24.799999,12.58,52.07,14.95,11.9
1/3/2018,270.47,23.48,61.5,21.67,32.869999,24.15,12.5,55.439999,15.31,11.9
1/4/2018,271.61,23.049999,59.849998,21.530001,33.599998,24.450001,12.05,51.240002,14.59,12.17
1/5/2018,273.42,23.049999,58.650002,21.24,33.43,24.18,13,46.279999,14.5,12.53
1/8/2018,273.92,23.110001,55.650002,21.09,33.009998,23.709999,12.83,47.470001,14.06,12.82
1/9/2018,274.54,22.82,52.200001,23.110001,33.209999,23.57,12.27,44.73,14.1,12.62
1/10/2018,274.12,22.879999,51,22.75,32.740002,23.709999,11.98,44.709999,14.65,12.61
1/11/2018,276.12,22.870001,52.950001,23.129999,32.759998,24.639999,12.18,43.869999,14.6,12.46
1/12/2018,277.92,22.709999,51.150002,23.27,32.380001,25,12,43.380001,14.11,12.33
1/16/2018,276.97,22.799999,47.700001,22.42,31.83,24.27,12.31,39.189999,13.5,12.16
1/17/2018,279.61,22.51,47.400002,21.860001,32.599998,24.51,12.19,41.540001,13.52,11.75
1/18/2018,279.14,22.370001,48,21.85,32.790001,24.27,12.35,40.759998,14.01,11.47
1/19/2018,280.41,22.18,45.900002,21.299999,32.610001,24.65,12.4,40.220001,14.04,11.44
1/22/2018,282.69,22.43,48.150002,21.9,33.150002,25.02,12.64,43.619999,14.17,11.18
1/23/2018,283.29,22.9,48,22.83,35.23,24.4,13.05,42.619999,14.25,11.29
1/24/2018,283.18,22.59,46.200001,22.76,35.060001,23.389999,13.96,42.25,14.44,11.62
1/25/2018,283.30,22.58,45.75,22.379999,35.330002,24.040001,14.47,44.099998,13.71,11.53
1/26/2018,286.58,22.530001,46.349998,22.51,35.560001,24.09,13.34,42.91,13.56,12.32
1/29/2018,284.68,22.17,46.799999,22.440001,34.849998,23.35,13.77,42.360001,13.47,11.17
1/30/2018,281.76,22,45.75,21.809999,35,22.93,13.92,41.52,13.26,10.65
1/31/2018,281.90,22.49,44.849998,21.469999,35.939999,23.76,13.99,40.619999,13.52,10.28
2/1/2018,281.58,22.049999,45.299999,21.549999,35.720001,23.790001,14.21,39.919998,13.92,10.28
2/2/2018,275.45,22.07,45.599998,21.35,35.799999,22.99,13.78,40.459999,13.71,10.2
2/5/2018,263.93,21.190001,46.200001,20.68,35.709999,21.77,13.35,40.169998,13.85,9.53
2/6/2018,269.13,21.25,46.799999,20.59,37.09,22.5,13.26,41.900002,14.06,10.29
2/7/2018,267.67,21.18,48,20.41,38.119999,21.889999,13.04,45.689999,20.75,9.47
2/8/2018,257.63,20.549999,55.5,19.77,31.790001,21.16,13,43.700001,19.389999,9.03
2/9/2018,261.50,20.950001,48.900002,19.209999,30.459999,21.530001,13.04,42.459999,18.799999,8.74
2/12/2018,265.34,21,50.25,19.629999,31.74,22,13.29,43.23,18.629999,9.11
2/13/2018,266.00,21.049999,50.25,19.540001,33.169998,22.110001,13.94,43.02,18.58,9.78
2/14/2018,269.59,21.32,52.049999,19.969999,34.849998,23.02,14.56,44.849998,19.559999,9.45
2/15/2018,273.03,21.51,49.650002,20.26,34.009998,22.85,14,45.639999,19.75,9.48
2/16/2018,273.11,21.52,53.400002,19.809999,34,22.700001,14.11,48.130001,20.42,9.42
2/20/2018,271.40,21.26,50.849998,19.15,33.540001,22.74,14.02,51.18,18.93,9.28
2/21/2018,270.05,20.85,49.049999,18.790001,33.630001,22.620001,13.98,51.099998,18.639999,9.34
2/22/2018,270.40,21.68,49.650002,18.559999,32.07,22.59,13.98,42.049999,17.51,9.26
2/23/2018,274.71,21.950001,46.5,19.26,32.779999,22.040001,14.15,41.52,17.450001,9.08
2/26/2018,277.90,21.93,44.549999,19.190001,33.599998,22.299999,14.22,40.439999,17.09,9.14
2/27/2018,274.43,21.52,41.700001,18.48,32.759998,21.99,13.87,40.91,16.32,8.95
2/28/2018,271.65,21.75,41.849998,18.200001,31.629999,21.77,13.65,40.77,17.32,8.8
3/1/2018,267.70,21.91,40.650002,18.709999,31.32,21.440001,13.93,38.720001,17.209999,8.97
