Date,ADT,BILI,DBX,GTES,IQ,PAGS,SPOT,WHD,ZS
1/19/2018,12.39,,,,,,,,
1/22/2018,11.45,,,,,,,,
1/23/2018,11.91,,,,,,,,
1/24/2018,11.91,,,,,29.200001,,,
1/25/2018,11.9,,,18.5,,29.299999,,,
1/26/2018,11.9,,,18.9,,29.190001,,,
1/29/2018,12.08,,,19.1,,27.98,,,
1/30/2018,12.4,,,19.190001,,27.469999,,,
1/31/2018,12.48,,,19.6,,27.940001,,,
2/1/2018,12.75,,,19.719999,,27.5,,,
2/2/2018,12.86,,,18.99,,27.610001,,,
2/5/2018,12.64,,,18.35,,27.43,,,
2/6/2018,12.3,,,18.34,,27.43,,,
2/7/2018,12.51,,,18.440001,,28.15,,,
2/8/2018,12.37,,,18.139999,,27.98,,20.25,
2/9/2018,12.64,,,17.940001,,28,,20.4,
2/12/2018,12.68,,,18,,28.379999,,20.9,
2/13/2018,12.15,,,18.379999,,27.870001,,21.43,
2/14/2018,11.94,,,18.610001,,27.83,,22,
2/15/2018,11.69,,,18.379999,,29.08,,23.41,
2/16/2018,11.58,,,18.290001,,30.360001,,24.57,
2/20/2018,11.59,,,18.08,,31.700001,,24.84,
2/21/2018,11.65,,,17.75,,32.360001,,24.68,
2/22/2018,11.91,,,17.639999,,32.189999,,25.190001,
2/23/2018,11.98,,,17.059999,,32.369999,,25.200001,
2/26/2018,12.15,,,16.940001,,32.459999,,25.219999,
2/27/2018,11.6,,,17.440001,,32.43,,25.24,
2/28/2018,10.56,,,17.360001,,32.240002,,24.610001,
3/1/2018,10.68,,,17.17,,32.119999,,24.540001,
3/2/2018,11.07,,,17.09,,33.34,,24.66,
3/5/2018,10.72,,,17.690001,,33.560001,,24.93,
3/6/2018,10.35,,,17.870001,,34.759998,,25.610001,
3/7/2018,10.4,,,17.75,,35.099998,,25.48,
3/8/2018,10.52,,,17.700001,,34.790001,,26.030001,
3/9/2018,10.53,,,17.719999,,35.25,,26.33,
3/12/2018,10.71,,,18.120001,,36.189999,,26.85,
3/13/2018,10.54,,,17.950001,,35.939999,,26.68,
