Date,LEVI,CHWY,LYFT,NET,PINS,PTON,SDC,UBER,WORK,XP
3/21/2019,22.41,,,,,,,,,
3/22/2019,22.120001,,,,,,,,,
3/25/2019,21.77,,,,,,,,,
3/26/2019,22.08,,,,,,,,,
3/27/2019,22.299999,,,,,,,,,
3/28/2019,22.690001,,,,,,,,,
3/29/2019,23.549999,,78.290001,,,,,,,
4/1/2019,22.709999,,69.010002,,,,,,,
4/2/2019,23,,68.970001,,,,,,,
4/3/2019,21.780001,,70,,,,,,,
4/4/2019,21.690001,,72,,,,,,,
4/5/2019,21.690001,,74.449997,,,,,,,
4/8/2019,21.299999,,70.230003,,,,,,,
4/9/2019,21.879999,,67.440002,,,,,,,
4/10/2019,22.75,,60.119999,,,,,,,
4/11/2019,23.030001,,61.009998,,,,,,,
4/12/2019,22.450001,,59.895,,,,,,,
4/15/2019,23.969999,,56.110001,,,,,,,
4/16/2019,23.91,,56.25,,,,,,,
4/17/2019,23.450001,,59.509998,,,,,,,
4/18/2019,23.790001,,58.360001,,24.4,,,,,
4/22/2019,22.82,,60.939999,,24.99,,,,,
4/23/2019,22.190001,,60.25,,25.85,,,,,
4/24/2019,22.4,,57.82,,26.799999,,,,,
4/25/2019,22.33,,56.34,,28.799999,,,,,
4/26/2019,22.790001,,57.240002,,29.85,,,,,
4/29/2019,23.190001,,60.59,,34.259998,,,,,
4/30/2019,22.41,,59.799999,,30.98,,,,,
5/1/2019,22.629999,,58.75,,31.23,,,,,
5/2/2019,22.92,,61.5,,29.74,,,,,
5/3/2019,22.610001,,62.509998,,28.360001,,,,,
5/6/2019,22.690001,,60.57,,29.5,,,,,
5/7/2019,22.83,,59.34,,28.690001,,,,,
5/8/2019,22.6,,52.91,,29.51,,,,,
5/9/2019,22.48,,55.18,,28.75,,,,,
5/10/2019,22.379999,,51.09,,29.049999,,,41.57,,
5/13/2019,21.98,,48.150002,,26.629999,,,37.099998,,
5/14/2019,22.379999,,50.52,,28.99,,,39.959999,,
5/15/2019,22.1,,54.040001,,28.629999,,,41.290001,,
5/16/2019,21.969999,,55.599998,,30.860001,,,43,,
5/17/2019,21.950001,,53.790001,,26.700001,,,41.91,,
5/20/2019,22.02,,54.630001,,25.85,,,41.59,,
5/21/2019,22.25,,55.509998,,25.41,,,41.5,,
5/22/2019,22.4,,57.880001,,24.6,,,41.25,,
5/23/2019,22.139999,,58.110001,,23.799999,,,40.470001,,
5/24/2019,22.059999,,57.099998,,25.5,,,41.509998,,
5/28/2019,21.99,,56.889999,,25.799999,,,40.950001,,
5/29/2019,21.280001,,56.259998,,25.58,,,39.939999,,
5/30/2019,20.790001,,54.830002,,25.51,,,39.799999,,
5/31/2019,19.42,,57.619999,,24.92,,,40.41,,
6/3/2019,20.629999,,59.540001,,24.4,,,41.25,,
6/4/2019,21.48,,59.169998,,24.200001,,,42.75,,
6/5/2019,21.33,,63.009998,,24.940001,,,45,,
6/6/2019,20.82,,61.630001,,25.809999,,,44.919998,,
6/7/2019,20.969999,,59.259998,,27.610001,,,44.16,,
6/10/2019,21.65,,56.759998,,27.940001,,,42.610001,,
6/11/2019,20.91,,58.07,,26.48,,,42.450001,,
6/12/2019,20.629999,,58.41,,27.049999,,,42.169998,,
6/13/2019,21.18,,61.209999,,26.950001,,,44.310001,,
6/14/2019,21.49,34.990002,60.959999,,27.41,,,43.23,,
6/17/2019,21.83,33.700001,63.599998,,27.85,,,43.779999,,
6/18/2019,21.76,37.360001,64.400002,,28.799999,,,43.860001,,
6/19/2019,22.309999,34.900002,63.549999,,28.09,,,44.860001,,
6/20/2019,21.780001,34.23,62.84,,27.540001,,,43.860001,38.619999,
6/21/2019,21.76,32.279999,64.260002,,27.98,,,44,37.220001,
6/24/2019,21.059999,31.530001,63.759998,,26.690001,,,43.09,35.759998,
