Date,WMG,ABNB,ASAN,LI,LU,PLTR,RKT,WISH,XPEV,YSG
6/3/2020,30.120001,,,,,,,,,
6/4/2020,30,,,,,,,,,
6/5/2020,29.940001,,,,,,,,,
6/8/2020,31,,,,,,,,,
6/9/2020,32,,,,,,,,,
6/10/2020,31.049999,,,,,,,,,
6/11/2020,29.99,,,,,,,,,
6/12/2020,30.77,,,,,,,,,
6/15/2020,32.09,,,,,,,,,
6/16/2020,31.98,,,,,,,,,
6/17/2020,32.560001,,,,,,,,,
6/18/2020,32.720001,,,,,,,,,
6/19/2020,32.860001,,,,,,,,,
6/22/2020,31.99,,,,,,,,,
6/23/2020,31.35,,,,,,,,,
6/24/2020,31.33,,,,,,,,,
6/25/2020,30.6,,,,,,,,,
6/26/2020,30.469999,,,,,,,,,
6/29/2020,31.43,,,,,,,,,
6/30/2020,29.5,,,,,,,,,
7/1/2020,29.450001,,,,,,,,,
7/2/2020,29.35,,,,,,,,,
7/6/2020,29.790001,,,,,,,,,
7/7/2020,29.639999,,,,,,,,,
7/8/2020,29.98,,,,,,,,,
7/9/2020,30,,,,,,,,,
7/10/2020,30.879999,,,,,,,,,
7/13/2020,30.09,,,,,,,,,
7/14/2020,29.639999,,,,,,,,,
7/15/2020,29.629999,,,,,,,,,
7/16/2020,29.690001,,,,,,,,,
7/17/2020,29.42,,,,,,,,,
7/20/2020,28.950001,,,,,,,,,
7/21/2020,28.495001,,,,,,,,,
7/22/2020,27.82,,,,,,,,,
7/23/2020,28.33,,,,,,,,,
7/24/2020,28.34,,,,,,,,,
7/27/2020,28.65,,,,,,,,,
7/28/2020,29.52,,,,,,,,,
7/29/2020,30.01,,,,,,,,,
7/30/2020,29.91,,,16.459999,,,,,,
7/31/2020,30.15,,,16,,,,,,
8/3/2020,29.940001,,,16.360001,,,,,,
8/4/2020,28.950001,,,16.690001,,,,,,
8/5/2020,28.639999,,,16.75,,,,,,
8/6/2020,28.870001,,,18.5,,,21.51,,,
8/7/2020,28.51,,,16.889999,,,24.9,,,
8/10/2020,29.16,,,16.42,,,21.67,,,
8/11/2020,28.514999,,,16,,,20.58,,,
8/12/2020,29.450001,,,15.66,,,20,,,
8/13/2020,29.639999,,,15.16,,,18.74,,,
8/14/2020,30.299999,,,14.6,,,18.959999,,,
8/17/2020,31.02,,,15.42,,,19.040001,,,
8/18/2020,30.620001,,,15.96,,,20.139999,,,
8/19/2020,30.530001,,,15.04,,,21.4,,,
8/20/2020,30.379999,,,14.75,,,23.790001,,,
8/21/2020,30.059999,,,15.02,,,25.889999,,,
8/24/2020,30.1,,,17.09,,,29.110001,,,
8/25/2020,29.465,,,18.23,,,28.610001,,,
8/26/2020,29.42,,,23.379999,,,27.32,,,
8/27/2020,28.84,,,19.379999,,,27.1,,21.219999,
8/28/2020,29.459999,,,17.6,,,28.42,,22.790001,
8/31/2020,29.66,,,16.299999,,,28,,20.5,
9/1/2020,29.879999,,,18.290001,,,30.709999,,21.610001,
9/2/2020,29.030001,,,17.870001,,,31.309999,,21.09,
9/3/2020,28.6,,,16.91,,,26.5,,20.030001,
9/4/2020,29.09,,,16.83,,,24.57,,19.030001,
9/8/2020,28.450001,,,15.79,,,22.74,,17.73,
9/9/2020,28.66,,,15.8,,,23.389999,,18.07,
9/10/2020,28.51,,,16.049999,,,23.15,,19.280001,
9/11/2020,29.01,,,16.209999,,,22.75,,19.1,
9/14/2020,28.82,,,17.469999,,,23.700001,,20.48,
9/15/2020,28.200001,,,18.190001,,,23.360001,,21.120001,
9/16/2020,28.530001,,,17.52,,,22.719999,,19.92,
9/17/2020,27.639999,,,17.26,,,22.57,,19.24,
9/18/2020,28.48,,,17.030001,,,22.27,,18.9,
9/21/2020,27.83,,,16.43,,,21.42,,18.15,
9/22/2020,28.23,,,16.74,,,21.57,,19.309999,
9/23/2020,27.950001,,,15.68,,,20.299999,,18.41,
9/24/2020,28.15,,,15.09,,,20.059999,,17.450001,
9/25/2020,27.01,,,15.8,,,20.52,,17.93,
9/28/2020,28.01,,,16.08,,,20.67,,19.059999,
9/29/2020,28.209999,,,17.030001,,,20.07,,18.780001,
9/30/2020,28.74,,28.799999,17.389999,,9.5,19.93,,20.07,
10/1/2020,28.17,,26.129999,16.799999,,9.46,22.66,,18.67,
10/2/2020,27.99,,25.91,16.92,,9.2,23,,18.190001,
10/5/2020,28.33,,25.190001,17.52,,9.03,22.559999,,20.040001,
10/6/2020,27.82,,26,17.35,,9.9,21.719999,,19.700001,
10/7/2020,28,,26.48,17.77,,10,21.700001,,20.16,
10/8/2020,27.780001,,26.530001,17.93,,10,22.73,,19.860001,
10/9/2020,27.93,,25.700001,17.6,,9.95,22.959999,,20,
10/12/2020,28.32,,24.879999,19.16,,9.89,23.139999,,19.879999,
10/13/2020,29.15,,24.379999,19.43,,9.47,23.58,,19.639999,
10/14/2020,28.9,,23.35,20.780001,,9.34,22.76,,22.049999,
10/15/2020,29.67,,23.969999,20.5,,9.91,22.35,,22.16,
10/16/2020,29.309999,,23.98,19.77,,9.71,21.91,,21.77,
10/19/2020,29.26,,23.9,19.18,,9.57,20.74,,19.84,
10/20/2020,29.110001,,24.1,20.49,,9.27,20.559999,,20.139999,
10/21/2020,28.639999,,24.190001,19.389999,,9.2,20.01,,20.42,
10/22/2020,29.27,,24,18.98,,9.68,20.25,,20.82,
10/23/2020,29.5,,23.51,18.4,,9.49,20.57,,20.049999,
10/26/2020,28.360001,,23.629999,19.08,,9.95,19.879999,,19.620001,
10/27/2020,27.879999,,23.51,19.209999,,10.95,20.110001,,19.9,
10/28/2020,27.129999,,23.48,18.690001,,10.85,18.65,,19.02,
10/29/2020,27.290001,,23.18,20.620001,,10.75,18.9,,20.719999,
10/30/2020,26.530001,,22.110001,20.17,12.85,10.13,18.23,,19.379999,
11/2/2020,26.24,,21.950001,22.879999,13.8,10.54,18.93,,20.719999,
11/3/2020,26.65,,22.200001,24.049999,12.66,10.5,19.379999,,22.209999,
11/4/2020,27.57,,22.16,25.309999,12.68,10.72,20.620001,,27.389999,
11/5/2020,27.07,,22.969999,28.09,13.86,11.88,20.950001,,35.849998,
11/6/2020,27.01,,23.389999,26.459999,16.35,13.83,21.309999,,34.810001,
11/9/2020,28.700001,,22.950001,26.299999,17.5,14.67,21.450001,,34.07,
11/10/2020,29.25,,21.370001,25.24,16.58,14,21.6,,32.900002,
11/11/2020,29.290001,,21.549999,24.969999,16.940001,15.96,21.059999,,33.529999,
11/12/2020,28.540001,,21.309999,31.780001,17.85,14.58,21.790001,,44.73,
11/13/2020,29.35,,22.4,31.200001,19.219999,15.8,21.85,,41.990002,
11/16/2020,29.85,,22.860001,35.549999,19.719999,15.93,22.65,,44.099998,
11/17/2020,29.76,,23.35,35.049999,15.15,17.85,22.200001,,42.91,
11/18/2020,29.389999,,22.719999,35.490002,14.87,17.9,21.16,,42.18,
11/19/2020,29.23,,22,36.740002,15.53,18.98,21.26,,48.110001,18.4
11/20/2020,29.08,,22.139999,38.119999,14.61,18.15,20.959999,,53.889999,20.030001
11/23/2020,28.01,,22.02,43.639999,14.96,21.040001,20.299999,,72.169998,18.24
11/24/2020,29.25,,22.879999,43.959999,13.93,23.82,20.83,,70.629997,17.15
11/25/2020,28.85,,25.82,40.720001,14.09,29.049999,20.42,,64.269997,16.860001
11/27/2020,28.35,,27.879999,39.48,15.19,27.66,20.25,,64.279999,17.58
11/30/2020,29.73,,27.950001,35.990002,16.469999,27.110001,20.719999,,58.759998,16.709999
12/1/2020,29.299999,,27.120001,34.860001,16.799999,25.67,20.190001,,52.360001,16.780001
12/2/2020,29.924999,,26.709999,34.75,15.1,22.51,20.1,,56,16
12/3/2020,29.969999,,27.17,32.310001,14.43,24.030001,20.309999,,51.82,15.83
12/4/2020,29.57,,26.5,30.530001,14.63,23.85,19.629999,,49.34,15.99
12/7/2020,30.950001,,29.700001,31.49,14.8,28.940001,19.700001,,48.299999,15.56
12/8/2020,32.009998,,29.02,33.310001,14.88,28.59,20.209999,,48.689999,17.040001
12/9/2020,32.75,,28.34,32.029999,14.15,26.629999,21.059999,,44.650002,17.9
12/10/2020,33.779999,144.710007,29.1,32.490002,13.72,27.040001,20.799999,,44.799999,17.76
12/11/2020,33.16,139.25,28.4,31.360001,14.07,27.200001,20.860001,,44.310001,16.4
12/14/2020,33.09,130,28.1,31.33,13.26,27.24,21.940001,,47.169998,15.6
12/15/2020,33.689999,124.800003,28.67,32.150002,14.2,26.43,22.360001,,49.490002,15.72
12/16/2020,33.049999,137.990005,29.120001,31.360001,14.26,25.92,22.389999,20.049999,47.400002,15.68
12/17/2020,35.93,147.050003,30.27,30.690001,14.7,27.23,22.4,22.27,46.380001,15.92
12/18/2020,37.099998,157.300003,30.34,31.77,15.34,25.969999,21.639999,23.549999,46.380001,16.709999
12/21/2020,37.52,163.020004,31.120001,32.860001,14.76,28.51,21.6,23.15,46.970001,17.07
12/22/2020,37.599998,163.190002,30.360001,31.290001,13.85,28.040001,21.700001,22.190001,45.049999,16.690001
12/23/2020,38.02,158.009995,30.01,30.559999,14.62,28.690001,21.65,20.940001,43.799999,16.99
12/24/2020,37.450001,154.839996,30.049999,29.32,14.17,27.75,20.83,20.09,41.869999,16
12/28/2020,37.330002,149,28.809999,27.01,13.76,25.629999,20.5,19.610001,38.009998,15.61
12/29/2020,37.220001,150,28.620001,28.67,14.29,24.66,20.75,18.639999,41.549999,15.85
12/30/2020,37.990002,148.429993,29.120001,29.059999,14.54,25.1,21.16,17.58,42.290001,16.26
12/31/2020,37.990002,146.800003,29.549999,28.83,14.2,23.549999,20.219999,18.24,42.830002,17
1/4/2021,36.869999,139.149994,29,32.459999,14.3,23.370001,20,19.24,44.099998,16.629999
1/5/2021,36.990002,148.300003,28.549999,30.99,14,24.6,19.889999,19.799999,42.34,16.93
1/6/2021,36.990002,142.770004,28.030001,31.76,13.82,23.540001,19.35,20.82,41.23,17.889999
1/7/2021,36.59,151.270004,28.9,35.09,13.8,25,19.719999,20.93,44.990002,17.15
1/8/2021,36.200001,149.770004,31.58,34.299999,14.32,25.200001,19.950001,20.360001,45.450001,18.110001
1/11/2021,35.200001,148.130005,32.080002,32.790001,14.5,25.93,19.84,19.610001,44.360001,17.889999
1/12/2021,34.91,160.800003,34.98,36.75,15,26.18,19.629999,20.940001,54.299999,19.17
1/13/2021,35.740002,169.990005,36.48,35.549999,14.32,25.5,19.93,23.92,51.66,18.83
1/14/2021,36.189999,180.5,37.139999,34.700001,14.74,24.92,20.16,28.129999,50.310001,21.35
1/15/2021,34.970001,169.270004,38.630001,32.599998,14.01,25.639999,19.6,24.834999,47.82,18.49
1/19/2021,36.150002,173.690002,39.700001,35.439999,14.37,26.620001,19.540001,26.09,53.84,20
1/20/2021,38.18,161.830002,39.57,35.599998,14.05,26.34,19.870001,25.85,52.459999,19.559999
