Date,WOOF,BMBL,COIN,CPNG,DIDI,JZXN,OTLY,PLTK,RBLX,RLX
1/14/2021,29.4,,,,,,,,,
1/15/2021,27.709999,,,,,,,,,
1/19/2021,26.85,,,,,,,32.400002,,
1/20/2021,26.040001,,,,,,,32,,
1/21/2021,27.24,,,,,,,31.01,,
1/22/2021,26.07,,,,,,,30.24,,29.51
1/25/2021,27,,,,,,,30.290001,,28.629999
1/26/2021,27.6,,,,,,,30.860001,,24.040001
1/27/2021,26.99,,,,,,,29.4,,23.16
1/28/2021,26.18,,,,,,,29.18,,24.27
1/29/2021,26.030001,,,,,,,29.139999,,22.5
2/1/2021,25.459999,,,,,,,29,,23
2/2/2021,25.610001,,,,,,,28.99,,25.870001
2/3/2021,26.01,,,,,,,29.43,,26.76
2/4/2021,26.440001,,,,,,,29.91,,25.139999
2/5/2021,26.35,,,,,,,31,,24.23
2/8/2021,26.74,,,,,,,32.299999,,22.040001
2/9/2021,26.66,,,,,,,34.279999,,22.52
2/10/2021,26.18,,,,,,,33.91,,22.43
2/11/2021,25.75,70.309998,,,,,,33.700001,,24.950001
2/12/2021,25.73,75.459999,,,,,,33.810001,,24.48
2/16/2021,24.870001,78.889999,,,,,,33.73,,23.969999
2/17/2021,23.959999,77.32,,,,,,32.779999,,23.719999
2/18/2021,23.5,74,,,,,,32.560001,,22.610001
2/19/2021,23.59,71.75,,,,,,32.360001,,21.040001
2/22/2021,23.16,67.199997,,,,,,31.01,,19.84
2/23/2021,22.68,65.470001,,,,,,31.5,,20.120001
2/24/2021,21.809999,68.5,,,,,,32.009998,,19.459999
2/25/2021,21.030001,63.98,,,,,,30.23,,17.209999
2/26/2021,19.93,67.309998,,,,,,29.75,,17.51
3/1/2021,20.99,74.510002,,,,,,30.639999,,19.879999
3/2/2021,20.799999,67.870003,,,,,,29.99,,18.950001
3/3/2021,20.65,62.009998,,,,,,29.690001,,17.940001
3/4/2021,19.08,59.639999,,,,,,28.809999,,16.629999
3/5/2021,19.459999,61.650002,,,,,,28.09,,16.09
3/8/2021,20.719999,60.5,,,,,,26.35,,13.83
3/9/2021,21.08,63.299999,,,,,,26.790001,,16.129999
3/10/2021,21.49,62.91,,,,,,26.59,69.5,15.36
3/11/2021,22.16,69.760002,,49.25,,,,27.74,73.900002,18.799999
3/12/2021,22.709999,69.260002,,48.470001,,,,26.1,69.699997,17.35
3/15/2021,23.91,73.470001,,50.450001,,,,27.299999,72.150002,19.559999
3/16/2021,22.98,73,,47.130001,,,,26.809999,77,19
3/17/2021,23.43,72.669998,,43.290001,,,,26.9,76.790001,18.059999
3/18/2021,22.530001,66.190002,,43.889999,,,,26.18,67.300003,18.559999
3/19/2021,23.219999,68.160004,,44.889999,,,,25.790001,70.5,19.459999
3/22/2021,22.4,68.370003,,44.860001,,,,26,70,10.15
3/23/2021,22.004999,65.940002,,46,,,,25.959999,68,10.1
3/24/2021,21.709999,62.68,,43.790001,,,,25.450001,64.5,8.94
3/25/2021,21.27,61.720001,,43.700001,,,,25.16,67.849998,9.18
3/26/2021,20.99,62.599998,,43.529999,,,,25.27,70.970001,9.12
3/29/2021,22.15,62.060001,,46.009998,,,,25.48,67.029999,10.67
3/30/2021,21.879999,59.400002,,48.75,,,,26.82,65.169998,10.21
3/31/2021,22.16,62.380001,,49.349998,,,,27.209999,64.830002,10.36
4/1/2021,21.67,61.48,,47.310001,,,,26.85,67.339996,10.95
4/5/2021,21.299999,63.990002,,45.939999,,,,26.790001,70.760002,10.13
4/6/2021,21.370001,63.330002,,46.57,,,,26.879999,71.32,10.07
4/7/2021,21.16,62.869999,,45.330002,,,,26.209999,68.730003,9.56
4/8/2021,21.41,63.02,,45.580002,,,,26.459999,70.760002,10
4/9/2021,21.75,60.209999,,45.849998,,,,27,71.830002,9.32
4/12/2021,22.32,58.5,,45.220001,,,,26.92,75,8.56
4/13/2021,22.07,59.52,,47.099998,,,,26.459999,82.050003,9
4/14/2021,21.940001,60.080002,328.279999,45.709999,,,,25.92,75.349998,9.2
4/15/2021,22.245001,60.290001,322.75,45.799999,,,,26.1,79.660004,9.25
4/16/2021,22.709999,59.810001,342,45.900002,,,,25.93,75.849998,9.1
4/19/2021,23.635,59,333,45.720001,,,,26.879999,72,9.28
4/20/2021,24.030001,55.869999,320.820007,42.619999,,,,26.68,69.239998,9.08
4/21/2021,23.74,57.549999,311.920013,41.98,,,,27.424999,71.760002,9.88
4/22/2021,24.59,58.119999,293.450012,42.810001,,,,27.799999,69.849998,10.5
4/23/2021,24.280001,58.959999,291.600006,45.560001,,,,27.77,71.779999,12.12
4/26/2021,24.68,60.360001,304.540009,45.669998,,,,28.450001,74.900002,12.53
4/27/2021,25.08,59.220001,302,45.540001,,,,28.459999,74.349998,12.5
4/28/2021,24.690001,62.599998,298.049988,43.709999,,,,28.780001,75.639999,12.01
4/29/2021,24.76,60.830002,294.769989,42.560001,,,,28.309999,76.120003,10.99
4/30/2021,23.620001,60.240002,297.640015,41.900002,,,,27.780001,74.550003,10.89
5/3/2021,24,58.25,294.209991,42.060001,,,,27.34,71.080002,11.1
5/4/2021,24.17,55.27,280.660004,41.490002,,,,26.200001,69.620003,10.51
5/5/2021,24.15,56.150002,273,41.259998,,,,26.360001,66.589996,10.83
5/6/2021,23.85,55.709999,256.76001,40.23,,,,26.200001,65.059998,10.76
5/7/2021,23.82,57.990002,263.700012,38.93,,,,27.48,67.900002,11.04
5/10/2021,24.629999,53.110001,293.450012,37.07,,,,26.82,64,9.94
5/11/2021,24.41,50.650002,303,36.25,,,,25.889999,77.650002,10.83
5/12/2021,23.43,47.240002,283.609985,35.330002,,,,24.76,75.529999,10.76
5/13/2021,22.67,40.48,265.100006,32.040001,,,,23.870001,69.68,10.38
5/14/2021,24.66,42.82,258.369995,36.43,,,,25.200001,70.949997,10.97
5/17/2021,25.594999,40.950001,248.240005,35.18,,,,25.299999,76.93,11.76
5/18/2021,25.129999,41.439999,239,37.25,,18.620001,,25.68,74.989998,12.1
5/19/2021,25.74,39.889999,224.800003,37.060001,,9.95,,26.049999,75.220001,12.14
5/20/2021,25.469999,39.860001,233.399994,38.740002,,7.42,20.200001,26.77,76.330002,11.63
5/21/2021,24.700001,40.450001,224.350006,38.009998,,8.41,22.459999,26.84,82.5,11.6
5/24/2021,24.58,39.560001,225.300003,40.5,,10.19,20.73,27.309999,89.230003,11.26
5/25/2021,24.030001,41.48,242.410004,40.139999,,9.64,21.200001,26.66,89.32,11.02
5/26/2021,24.5,43.290001,241.520004,41.799999,,8.99,21.620001,27.09,89.709999,10.88
5/27/2021,22.799999,45.98,247.089996,41,,9.19,22.120001,27.540001,97.470001,11.73
5/28/2021,22.65,47.720001,236.539993,40.790001,,9,23.709999,27.43,93.769997,11.31
6/1/2021,22.790001,47.830002,238.929993,41.310001,,9.3,25.15,27.309999,96.889999,11.85
6/2/2021,22.9,48.110001,240.479996,40.84,,9.31,23.809999,27.52,99.860001,11.22
6/3/2021,21.889999,46.290001,233.660004,39.52,,11.2,23.879999,26.040001,96.5,10.87
6/4/2021,22.09,46.720001,228.789993,38.889999,,13.75,23.83,25.82,99.57,9.9
6/7/2021,22.030001,45.34,231.449997,38.580002,,15.19,25,25.99,93.440002,9
6/8/2021,23.66,45.009998,220.660004,38.189999,,12.58,26.99,25.700001,91.410004,9.01
6/9/2021,24.09,46.16,224.320007,37.779999,,11.9,26.309999,25.299999,91.040001,9.27
6/10/2021,23.370001,47.709999,221.850006,38.060001,,9.5,26.65,25.68,91,9.15
6/11/2021,23.799999,47.619999,223.919998,38.599998,,8.54,28.73,25.75,92.82,9.48
6/14/2021,28.049999,51.220001,239.100006,38.509998,,8.27,27.370001,26,87.800003,9.44
6/15/2021,25.41,48.5,232.210007,38.82,,7.88,27.82,24.77,89.800003,9.35
6/16/2021,22.85,48.860001,228.050003,38.669998,,8.04,27.49,24.43,82.589996,9.4
6/17/2021,23.08,49.889999,230.660004,39.73,,7.78,26.73,24.780001,82.980003,8.82
6/18/2021,22.27,50.240002,229.289993,39.41,,7.69,26,23.959999,81.139999,8.99
6/21/2021,21.799999,53.220001,222.600006,39.439999,,8.55,26.33,24.18,82.510002,8.51
6/22/2021,21.799999,54.41,222.470001,40.02,,7.95,25.799999,23.73,82.440002,8.42
6/23/2021,22.07,55.189999,226.009995,39.639999,,8.39,25.84,23.25,84.860001,8.72
6/24/2021,22.07,57.93,229.929993,38.169998,,8.15,24.809999,23.58,87.339996,9.27
6/25/2021,22.559999,58.700001,224.539993,37.400002,,8.19,24.4,24.4,87,9.06
6/28/2021,22.139999,57.009998,246.690002,38.25,,8.49,25.299999,24.49,93.040001,9.03
